Hostname,IP
UADK-EVMS-Master,75.16.60.40
UADK-EVMS-VMSDB,75.16.60.41
UADK-EVMS-Rec01,75.16.60.42
UADK-EVMS-Rec02,75.16.60.43
UADK-EVMS-RP01,75.16.60.44
UADK-EVMS-RP02,75.16.60.45
UADK-EBM-DBF,75.16.60.24
UADK-EBM-CIT,75.16.60.25
UADK-EBM-RBE,75.16.60.26
UADK-EBM-EDB,75.16.60.27
UADK-EBM-RDS,75.16.60.28
UADK-EBM-RMQ01,75.16.60.29
UADK-EBM-RMQ02,75.16.60.30
UADK-EBM-VMC,75.16.60.31
UADK-EBM-DCMC01,75.16.60.32
UADK-EBM-TMC,75.16.60.23
UADK-EBM-OPS01,75.16.60.21
UADK-EBM-OPS02,75.16.60.22
UADK-EBM-EVT,75.16.60.22
UADK-EBM-DC02,75.16.60.16
UADK-DC01,75.16.63.15
UADK-DC02,75.16.60.16
